0277609010300DANIELSR         1142734  0TNT FILES   0000000000000000000000000000000
0277709011000DANIELSR         1142734  0TNT FILES   0000000000000000000000000000000
0277809011630DANIELSR         1142734  0TNT FILES   0000000000000000000000000000000
0277909020300DANIELSR         1142734  0TNT FILES   0000000000000000000000000000000
0278009021000DANIELSR         1142734  0TNT FILES   0000000000000000000000000000000
0278109021630DANIELSR         1142734  0TNT FILES   0000000000000000000000000000000
0278209030300DANIELSR         1142734  0TNT FILES   0000000000000000000000000000000
0278309031000DANIELSR         1142734  0TNT FILES   0000000000000000000000000000000
0278409031630DANIELSR         1142734  0TNT FILES   0000000000000000000000000000000
0278509040300DANIELSR         1142734  0TNT FILES   0000000000000000000000000000000
0278609041000DANIELSR         1142734  0TNT FILES   0000000000000000000000000000000
0278709041630DANIELSR         1142734  0TNT FILES   0000000000000000000000000000000
0278809050300DANIELSR         1142734  0TNT FILES   0000000000000000000000000000000
0278909051000DANIELSR         1142734  0TNT FILES   0000000000000000000000000000000
0279009051630DANIELSR         1142734  0TNT FILES   0000000000000000000000000000000
0279109060300DANIELSR         1142734  0TNT FILES   0000000000000000000000000000000
0279209061000DANIELSR         1142734  0TNT FILES   0000000000000000000000000000000
0279309061630DANIELSR         1142734  0TNT FILES   0000000000000000000000000000000
0279409070300DANIELSR         1142734  0TNT FILES   0000000000000000000000000000000
0279509071000DANIELSR         1142734  0TNT FILES   0000000000000000000000000000000
0279609071630DANIELSR         1142734  0TNT FILES   0000000000000000000000000000000
0279709080300DANIELSR         1142734  0TNT FILES   0000000000000000000000000000000
0279809081000DANIELSR         1142734  0TNT FILES   0000000000000000000000000000000
0279909081630DANIELSR         1142734  0TNT FILES   0000000000000000000000000000000
0280009090300DANIELSR         1142734  0TNT FILES   0000000000000000000000000000000
0280109091000DANIELSR         1142734  0TNT FILES   0000000000000000000000000000000
0280209091630DANIELSR         1142734  0TNT FILES   0000000000000000000000000000000
0280309100300DANIELSR         1142734  0TNT FILES   0000000000000000000000000000000
0280409101000DANIELSR         1142734  0TNT FILES   0000000000000000000000000000000
0280509101630DANIELSR         1142734  0TNT FILES   0000000000000000000000000000000
0280609110523DANIELSR         1142734  0TNT FILES   0000000000000000000000000000000
0280709111000DANIELSR         1142734  0TNT FILES   0000000000000000000000000000000
0280809111630DANIELSR         1142734  0TNT FILES   0000000000000000000000000000000
0280909120300DANIELSR         1142734  0TNT FILES   0000000000000000000000000000000
0281009121000DANIELSR         1142734  0TNT FILES   0000000000000000000000000000000
0281109121630DANIELSR         1142734  0TNT FILES   0000000000000000000000000000000
0281209130300DANIELSR         1142734  0TNT FILES   0000000000000000000000000000000
0281309131338NSSC         21477147773229            0000000000000000000000000000000
0281409131000DANIELSR         1142734  0TNT FILES   0000000000000000000000000000000
0281509131310NETCON       21477175306229RESTORE FILE1000000000000000000000000000000
0181609131630DANIELSR         1142734  0TNT FILES   0000000000000000000000000000000
0181709140300DANIELSR         1142734  0TNT FILES   0000000000000000000000000000000
0181809141000DANIELSR         1142734  0TNT FILES   0000000000000000000000000000000
0281909141910NSSC         21477147773229LOST IN SYST0000000000000000000000000000000
0282009141630DANIELSR         1142734  0TNT FILES   0000000000000000000000000000000
0182109150300DANIELSR         1142734  0TNT FILES   0000000000000000000000000000000
0182209151002PAPDEV       21477125475229            0000000000000000000000000000000
0182309151000DANIELSR         1142734  0TNT FILES   0000000000000000000000000000000
0182409151630DANIELSR         1142734  0TNT FILES   0000000000000000000000000000000
0182509162319DANIELSR         1142734  0TNT FILES   0000000000000000000000000000000
0182609162319DANIELSR         1142734  0TNT FILES   0000000000000000000000000000000
0182709162319DANIELSR         1142734  0TNT FILES   0000000000000000000000000000000
0182809170300DANIELSR         1142734  0TNT FILES   0000000000000000000000000000000
0182909171000DANIELSR         1142734  0TNT FILES   0000000000000000000000000000000
0183009171630DANIELSR         1142734  0TNT FILES   0000000000000000000000000000000
0183109180300DANIELSR         1142734  0TNT FILES   0000000000000000000000000000000
0183209181000DANIELSR         1142734  0TNT FILES   0000000000000000000000000000000
0183309181630DANIELSR         1142734  0TNT FILES   0000000000000000000000000000000
0183509190353DANIELSR         1142734  0TNT FILES   0000000000000000000000000000000
0183609191000DANIELSR         1142734  0TNT FILES   0000000000000000000000000000000
0183709191630DANIELSR         1142734  0TNT FILES   0000000000000000000000000000000
0283809200300DANIELSR         1142734  0TNT FILES   0000000000000000000000000000000
0283909201000DANIELSR         1142734  0TNT FILES   0000000000000000000000000000000
0284009201630UTIL             1    36  0TNT FILES   0000000000000000000000000000000
0284109210100UTIL             1    36  0TNT FILES   0000000000000000000000000000000
0284209210300UTIL             1    36  0TNT FILES   0000000000000000000000000000000
0284309211000UTIL             1    36  0TNT FILES   0000000000000000000000000000000
0284409211630UTIL             1    36  0TNT FILES   0000000000000000000000000000000
0284509220100UTIL             1    36  0TNT FILES   0000000000000000000000000000000
0284609220300UTIL             1    36  0TNT FILES   0000000000000000000000000000000
0284709221000UTIL             1    36  0TNT FILES   0000000000000000000000000000000
0284809221630UTIL             1    36  0TNT FILES   0000000000000000000000000000000
0284909230100UTIL             1    36  0TNT FILES   0000000000000000000000000000000
0285009230300UTIL             1    36  0TNT FILES   0000000000000000000000000000000
0285109231000UTIL             1    36  0TNT FILES   0000000000000000000000000000000
0285209231630UTIL             1    36  0TNT FILES   0000000000000000000000000000000
0285309240100UTIL             1    36  0TNT FILES   0000000000000000000000000000000
0285409240300UTIL             1    36  0TNT FILES   0000000000000000000000000000000
0285509241000UTIL             1    36  0TNT FILES   0000000000000000000000000000000
0285609241630UTIL             1    36  0TNT FILES   0000000000000000000000000000000
0285709250408UTIL             1    36  0TNT FILES   0000000000000000000000000000000
0285809250409UTIL             1    36  0TNT FILES   0000000000000000000000000000000
0285909251000UTIL             1    36  0TNT FILES   0000000000000000000000000000000
0286009251630UTIL             1    36  0TNT FILES   0000000000000000000000000000000
0286109260100UTIL             1    36  0TNT FILES   0000000000000000000000000000000
0286209260300UTIL             1    36  0TNT FILES   0000000000000000000000000000000
0286309261000UTIL             1    36  0TNT FILES   0000000000000000000000000000000
0286409261630UTIL             1    36  0TNT FILES   0000000000000000000000000000000
0286509270100UTIL             1    36  0TNT FILES   0000000000000000000000000000000
0286609270300UTIL             1    36  0TNT FILES   0000000000000000000000000000000
0286709271000UTIL             1    36  0TNT FILES   0000000000000000000000000000000
0286809271630UTIL             1    36  0TNT FILES   0000000000000000000000000000000
0286909280100UTIL             1    36  0TNT FILES   0000000000000000000000000000000
0287009280300UTIL             1    36  0TNT FILES   0000000000000000000000000000000
0287109281000UTIL             1    36  0TNT FILES   0000000000000000000000000000000
0287209281630UTIL             1    36  0TNT FILES   0000000000000000000000000000000
0287309290100UTIL             1    36  0TNT FILES   0000000000000000000000000000000
0287409290300UTIL             1    36  0TNT FILES   0000000000000000000000000000000
0287509291000UTIL             1    36  0TNT FILES   0000000000000000000000000000000
0287609291630UTIL             1    36  0TNT FILES   0000000000000000000000000000000
0287709300100UTIL             1    36  0TNT FILES   0000000000000000000000000000000
0287809300300UTIL             1    36  0TNT FILES   0000000000000000000000000000000
0287909301000UTIL             1    36  0TNT FILES   0000000000000000000000000000000
0288009301630UTIL             1    36  0TNT FILES   0000000000000000000000000000000
0288110010100UTIL             1    36  0TNT FILES   0000000000000000000000000000000
0288210010300UTIL             1    36  0TNT FILES   0000000000000000000000000000000
0288310011000UTIL             1    36  0TNT FILES   0000000000000000000000000000000
0288410011630UTIL             1    36  0TNT FILES   0000000000000000000000000000000
0288510020304UTIL             1    36  0TNT FILES   0000000000000000000000000000000
0288610020304UTIL             1    36  0TNT FILES   0000000000000000000000000000000
0288710021000UTIL             1    36  0TNT FILES   0000000000000000000000000000000
0288810021630UTIL             1    36  0TNT FILES   0000000000000000000000000000000
0288910030100UTIL             1    36  0TNT FILES   0000000000000000000000000000000
0289010030300UTIL             1    36  0TNT FILES   0000000000000000000000000000000
0289110031000UTIL             1    36  0TNT FILES   0000000000000000000000000000000
0289210031630UTIL             1    36  0TNT FILES   0000000000000000000000000000000
0289310040100UTIL             1    36  0TNT FILES   0000000000000000000000000000000
0289410040300UTIL             1    36  0TNT FILES   0000000000000000000000000000000
0289510041000UTIL             1    36  0TNT FILES   0000000000000000000000000000000
0289610041630UTIL             1    36  0TNT FILES   0000000000000000000000000000000
0289710050100UTIL             1    36  0TNT FILES   0000000000000000000000000000000
0289810050300UTIL             1    36  0TNT FILES   0000000000000000000000000000000
0289910051000UTIL             1    36  0TNT FILES   0000000000000000000000000000000
0290010051630UTIL             1    36  0TNT FILES   0000000000000000000000000000000
0290110060100UTIL             1    36  0TNT FILES   0000000000000000000000000000000
0290210060300UTIL             1    36  0TNT FILES   0000000000000000000000000000000
0290310061000UTIL             1    36  0TNT FILES   0000000000000000000000000000000
0290410061630UTIL             1    36  0TNT FILES   0000000000000000000000000000000
0290510070100UTIL             1    36  0TNT FILES   0000000000000000000000000000000
